"","region","days","year"
"1","Austin, TX",19.6470588235294,"2013-2017"
"2","Charlotte, NC",119,"2013-2017"
"3","Chicago, IL",43.9,"2013-2017"
"4","Columbus, OH",51.6363636363636,"2013-2017"
"5","Dallas, TX",34.5,"2013-2017"
"6","Denver, CO",33.2777777777778,"2013-2017"
"7","El Paso, TX",90.6666666666667,"2013-2017"
"8","Fort Worth, TX",39.1904761904762,"2013-2017"
"9","Houston, TX",34.5,"2013-2017"
"10","Indianapolis, IN",72.3333333333333,"2013-2017"
"11","Jacksonville, FL",62.7857142857143,"2013-2017"
"12","Los Angeles, CA",30.9411764705882,"2013-2017"
"13","New York, NY",82.75,"2013-2017"
"14","San Antonio, TX",46.6190476190476,"2013-2017"
"15","San Diego, CA",24.75,"2013-2017"
"16","San Francisco, CA",21.2857142857143,"2013-2017"
"17","San Jose, CA",21.1818181818182,"2013-2017"
"18","Seattle, WA",18,"2013-2017"
"19","Austin, TX",25.4615384615385,"2018-2022"
"20","Charlotte, NC",54.7333333333333,"2018-2022"
"21","Chicago, IL",35.6153846153846,"2018-2022"
"22","Columbus, OH",44.5555555555556,"2018-2022"
"23","Dallas, TX",45.4375,"2018-2022"
"24","Denver, CO",27.1,"2018-2022"
"25","El Paso, TX",45.6,"2018-2022"
"26","Fort Worth, TX",40.6363636363636,"2018-2022"
"27","Houston, TX",35.5454545454545,"2018-2022"
"28","Indianapolis, IN",16.25,"2018-2022"
"29","Jacksonville, FL",44.6363636363636,"2018-2022"
"30","Los Angeles, CA",45.6111111111111,"2018-2022"
"31","New York, NY",88.6,"2018-2022"
"32","San Antonio, TX",39.1875,"2018-2022"
"33","San Diego, CA",18.75,"2018-2022"
"34","San Francisco, CA",37.75,"2018-2022"
"35","San Jose, CA",22.3529411764706,"2018-2022"
"36","Seattle, WA",17.875,"2018-2022"
