"","state","median_ppsf_avg","median_list_ppsf_avg","avg_diff_ratio","avg_homes_sold"
"1","Alabama",99.2150803461063,106.173572667934,1.07013542999263,15.4136408838439
"2","Alaska",156.218507751938,164.955070603338,1.05592527400961,17.0025289017341
"3","Arizona",164.200341491178,177.668829726082,1.08202472730928,48.6573428749222
"4","Arkansas",97.4938875305623,104.756146715034,1.07448937947207,15.0301599669982
"5","California",346.40171858217,368.309485956545,1.06324381837378,21.3060614830236
"6","Colorado",216.346153846154,211.852433281005,0.979229024943311,24.4403502611596
"7","Connecticut",159.773782756943,165.236980305119,1.03419332918021,11.8690042826552
"8","Delaware",134.291338582677,138.073649047744,1.02816496212627,11.9422022919781
"9","Florida",164.572488414544,180.043227665706,1.09400562269067,28.7720824333003
"10","Georgia",115.051241873089,122.18045112782,1.06196551326752,24.8245943456388
"11","Hawaii",472.5168756027,494.505494505494,1.04653509755551,9.40308322083352
"12","Idaho",167.548500881834,182.291666666667,1.08799342105263,21.6295133437991
"13","Illinois",108.333333333333,121.190208242704,1.11867884531727,14.6679300403613
"14","Indiana",96.4921117563301,102.161246817796,1.0587523162078,15.6325981094242
"15","Iowa",117.633075869063,129.2530947301,1.09878190105282,11.4236809599435
"16","Kansas",91.2235675850677,98.8756613756614,1.08388286046211,18.5863866547513
"17","Kentucky",110.679923027582,116.646711104132,1.05391030200719,15.901920127251
"18","Louisiana",111.680672268908,121.032876927582,1.08374058347496,14.2782625557495
"19","Maine",156.486742424242,164.930555555556,1.05395864851236,8.16963029295126
"20","Maryland",174.825174825175,179.999666666667,1.02959809333333,14.2194673899642
"21","Massachusetts",239.894176940621,251.470588235294,1.04825632469411,10.4808979710791
"22","Michigan",115.740740740741,122.586396838702,1.05914646868638,15.3191512106473
"23","Minnesota",137.487209163831,144.230769230769,1.0490486359273,14.0021938062538
"24","Mississippi",97.689931138075,103.716666666667,1.06169249438894,11.7070995962315
"25","Missouri",105,113.360994041687,1.07962851468273,15.254480683685
"26","Montana",188.046116504854,197.973510761943,1.05279233861143,10.265469876241
"27","Nebraska",103.954873404336,109.506143001669,1.05340076338452,20.2719897101019
"28","Nevada",201.019252548131,214.303797468354,1.06608593332145,58.6620519159456
"29","New Hampshire",154.125879043601,162.81643096847,1.05638606559,8.79910689366453
"30","New Jersey",203.828091135731,216.910396171231,1.06418303268507,9.80128519973805
"31","New Mexico",149.253731343284,161.091791444549,1.07931500267848,9.14060166417751
"32","New York",140.909090909091,157.527309929496,1.11793574788675,10.0239437456851
"33","North Carolina",127.933613445378,135.724004772966,1.06089401462044,20.2401603054469
"34","Ohio",103.907913120513,110.5795106408,1.06420682814166,12.8628684742402
"35","Oklahoma",95.4570480743766,103.21077273313,1.08122736681226,20.6938299444034
"36","Oregon",208.068129041208,220.897615708275,1.06166002802152,15.9078073805829
"37","Pennsylvania",115.236297840226,124.107142857143,1.0769796078421,7.35180845371857
"38","Rhode Island",182.959401709402,192.291286935841,1.05100522377779,15.3895766921195
"39","South Carolina",121.08382726503,131.778459304141,1.08832419886846,18.6081575922808
"40","South Dakota",117.252931323283,125.611864857675,1.07128976171474,11.7739007092199
"41","Tennessee",126.903113634914,135.107352941176,1.06464962971566,26.390814490259
"42","Texas",129.404741103151,136.229097212699,1.05273652303132,29.277854053683
"43","Utah",161.214660978895,163.442831082682,1.01382113816608,16.8826774995453
"44","Vermont",143.046710633657,155.095486134557,1.08422965790354,3.80617094981068
"45","Virginia",175.438596491228,181.896915141596,1.0368124163071,19.2244392702408
"46","Washington",229.920530122496,238.675958188153,1.03808023607545,17.6343235026203
"47","West Virginia",109.688815158127,117.877358490566,1.07465249141979,7.83839509612705
"48","Wisconsin",122.115824730887,129.030860401409,1.05662685967,10.773439596415
